id,How confident are you that you understand what protections a TEE offers? (initial),ResponseId,How confident are you that you understand the scenario? (medical),What is the goal of the medical study? (attempt 1),What is the goal of the medical study? (attempt 2),Q296_Page Submit,How likely would you be willing to participate in the medical study?,How likely would you be willing to participate in the medical study? (free-response),"How safe do you think data would be when it is protected by a TEE? (medical, initial)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, use of a TEE)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, hospital collection)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, people on team)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, data collected)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, purpose of collection)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, other)","What questions do you still have about TEEs, if any? (medical)","TEE concept (medical, 1)","TEE concept (medical, 2)","TEE concept (medical, 3)","TEE concept (medical, 4)","TEE concept (medical, 5)","TEE concept (medical, 6)","TEE concept (medical, 7)","TEE concept (medical, 8)","TEE concept (medical, 9)","TEE concept (medical, 10)","TEE concept (medical, 11)","TEE concept (medical, 12)",How confident are you about your answers to the questions on this page? (medical),"How confident are you that you understand what protections a TEE offers? (medical, post-concepts)","How safe do you think data would be when it is protected by a TEE? (medical, post-TEE concepts)",How confident are you that you understand the scenario? (IoT),What kind of device are you shopping for? (attempt 1),What kind of device are you shopping for? (attempt 2),How likely would you be to purchase the voice assistant/light bulb?,How likely would you be to purchase the voice assistant/light bulb? (free-response),"How safe do you think data would be when it is protected by a TEE? (IoT, initial)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, use of a TEE)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, company collection)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, people on team)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, data collected)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, purpose of collection)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, other)","What questions do you still have about TEEs, if any? (IoT)","TEE concept (IoT, 1)","TEE concept (IoT, 2)","TEE concept (IoT, 3)","TEE concept (IoT, 4)","TEE concept (IoT, 5)","TEE concept (IoT, 6)","TEE concept (IoT, 7)","TEE concept (IoT, 8)","TEE concept (IoT, 9)","TEE concept (IoT, 10)","TEE concept (IoT, 11)","TEE concept (IoT, 12)",How confident are you about your answers to the questions on this page? (IoT),"How confident are you that you understand what protections a TEE offers? (IoT, post-concepts)","How safe do you think data would be when it is protected by a TEE? (IoT, post-TEE concepts)","Before this survey, were you familiar with the concept of TEEs?","Before this survey, were you familiar with the concept of TEEs? (free resposne)",Are you employed in a computing field?,Are you employed in a computing field? (free response),Do you have formal education in a computing field?,Do you have formal education in a computing field? (free response),Do you have prior experience with medical research?,Do you have prior experience with medical research? (free response),Do you work in a medical field?,Do you work in a medical field? (free response),Do you own any smart devices?,Do you own any smart devices? (free response),Do you have experience with home automation?,Do you have experience with home automation? (free response),Age,Gender,Gender (free response),Race,Race (free response),Education,Feedback,SCENARIO_Med,SCENARIO_IoT,Med_First,EXPLN,FAQ,faq1_count,faq2_count,faq3_count,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12
11,Not at all confident,R_7S1BG5zlC88ISuB,Somewhat confident,Determine where to build a new hospital,,,Maybe would,,Mostly safe,Neither safe nor unsafe,Definitely safe,Somewhat safe,Somewhat safe,Definitely safe,,"I have never heard of a TEE, though I'm assuming it's like an NDA for the researchers ",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Not at all confident,Not at all confident,Mostly safe,Somewhat confident,Smart voice assistant,,Would not ,,Somewhat safe,Neither safe nor unsafe,Somewhat unsafe,Somewhat unsafe,Somewhat unsafe,Neither safe nor unsafe,,Same as before,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Not at all confident,Not at all confident,Somewhat safe,No,,No,,No,,"Yes, as a participant",,No,,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34 years old,Female,,White or Caucasian,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,Medical-Simple,IoT-Complex,1,None,None,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0
12,Somewhat confident,R_1dFR37Oqw6UJyfF,Somewhat confident,Develop an AI tool for diagnosing patients,,,Would not ,,Mostly safe,Definitely safe,Somewhat safe,Somewhat safe,Neither safe nor unsafe,Somewhat safe,no,na,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Somewhat confident,Somewhat confident,Completely safe,Somewhat confident,Smart voice assistant,,Maybe would,,Mostly safe,Somewhat safe,Neither safe nor unsafe,Somewhat safe,Somewhat safe,Somewhat safe,they could be lying about who has access to the data,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I don’t own smart devices",,18-24 years old,Female,,Black or African American,,"Some college, but no degree",no,Medical-Complex,IoT-Complex,0,Trust,Hide,2,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0
13,Somewhat confident,R_2I9N1oe9ysFM79r,Completely confident,Develop an AI tool for diagnosing patients,,,Definitely would,,Mostly safe,Neither safe nor unsafe,Definitely safe,Somewhat safe,Somewhat safe,Definitely safe,I'd like to know who exactly at the hospital will be using the data,None,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart light bulb,,Maybe would,,Somewhat safe,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Somewhat unsafe,Somewhat safe,I don't exactly know who the people are that are using the data.,Will they sell my data?,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,35-44 years old,Male,,White or Caucasian,,Bachelor’s degree,N/A,Medical-Complex,IoT-Simple,0,Unsubstantial,None,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0
14,Not at all confident,R_7K14tTx8MUrtHeK,Somewhat confident,Determine where to build a new hospital,,,Would not ,,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Data is never safe if stored where it can be accessed over the cloud. An air gapped computer is the only way I would feel safe.,No additional questions at this time.,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart light bulb,,Would not ,,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Any type of data can be compromised is stored online. Agreements are only as good as the security behind how the data is stored and accessed.,No additional questions. There is no trust in my beliefs once you turn over information to a company. Just look how some of the credit information companies had a breach and data was acccesed by people not part of the company.,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Not at all confident,Somewhat confident,Not at all safe,No,,Yes,,Yes,,No,,No,,No,,"No, I don’t own smart devices",,55-64 years old,Male,,White or Caucasian,,Bachelor’s degree,A TEE can only protect from what is know. You can not protect from an unknown bad actor.,Medical-Simple,IoT-Simple,0,Unsubstantial,Hide,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0
15,Completely confident,R_5lYpcAwd0xT1O4P,Completely confident,Determine where to build a new hospital,,,Definitely would,,Mostly safe,Somewhat safe,Somewhat unsafe,Somewhat safe,Somewhat safe,Somewhat safe,Safe,None,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,Somewhat confident,Smart light bulb,,Would not ,,Mostly safe,Somewhat safe,Somewhat unsafe,Somewhat unsafe,Somewhat safe,Somewhat safe,limited scope of collection,None,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,No,,Yes,,Yes,,"Yes, as a participant",,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,65+ years old,Male,,White or Caucasian,,Bachelor’s degree,,Medical-Simple,IoT-Simple,1,Trust,None,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0
16,Completely confident,R_3Cyrs6khrUSaxT1,Completely confident,Develop an AI tool for diagnosing patients,,,Would not ,,Mostly safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,It's also safe because it's not valuable or interesting.,I have no questions,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,Completely confident,Smart voice assistant,,Would not ,,Mostly safe,Somewhat safe,Somewhat unsafe,Somewhat safe,Somewhat safe,Neither safe nor unsafe,No,I have no questions,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,No,,No,,No,,No,,No,,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,35-44 years old,Male,,White or Caucasian,,Bachelor’s degree,,Medical-Complex,IoT-Complex,1,Hardware,Hide,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0
17,Completely confident,R_82rRzA7KlidMFLQ,Completely confident,Develop an AI tool for diagnosing patients,,,Maybe would,,Mostly safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,"No, it seems pretty secure to ensure that my data is protected from potential malware.",I have no questions,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,Somewhat confident,Smart voice assistant,,Maybe would,,Somewhat safe,Somewhat safe,Neither safe nor unsafe,Somewhat safe,Definitely unsafe,Somewhat safe,N/a,N/a,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,18-24 years old,Female,,Black or African American,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,Medical-Complex,IoT-Complex,1,Trust,Hide,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1
18,Somewhat confident,R_7zQFP2cTNKcFoUp,Completely confident,Determine where to build a new hospital,,,Would not ,,Somewhat safe,Neither safe nor unsafe,Somewhat safe,Neither safe nor unsafe,Somewhat unsafe,Somewhat safe,There is always a chance of a data breach as we have constantly seen. ,none,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,Completely confident,Smart light bulb,,Would not ,,Somewhat safe,Somewhat safe,Somewhat unsafe,Neither safe nor unsafe,Somewhat unsafe,Neither safe nor unsafe,Company can use the data for whatever they want only for their own benefit. ,none,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,"Yes, as a researcher",,"No, but I have been in the past",,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34 years old,Female,,Asian,,Bachelor’s degree,n/a,Medical-Simple,IoT-Simple,1,None,Hide,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,Somewhat confident,R_1CrXZ60eJo1RWX2,Completely confident,Determine where to build a new hospital,,,Maybe would,,Mostly safe,Somewhat unsafe,Neither safe nor unsafe,Somewhat unsafe,Somewhat unsafe,Somewhat unsafe, I have to share my name and address and this makes me feel like my data would be unsafe.,I have no questions.,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,Somewhat confident,Smart voice assistant,,Maybe would,,Mostly safe,Somewhat safe,Definitely unsafe,Neither safe nor unsafe,Somewhat unsafe,Somewhat unsafe,"The data collected by the AI includes anything I enter into the app, collecting personal information like my name and address which makes me feel like my data would be unsafe since the AI will be keeping my personal information. ",I have no other questions about TEEs.,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,18-24 years old,Female,,Asian,,"Some college, but no degree",,Medical-Simple,IoT-Complex,0,Unsubstantial,Hide,2,2,2,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1
20,Somewhat confident,R_3wcyS3ak9t59vqh,Completely confident,Determine where to build a new hospital,,110.3,Would not ,,Mostly safe,Somewhat safe,Definitely unsafe,Neither safe nor unsafe,Somewhat unsafe,Definitely unsafe,No,None,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Completely confident ,Completely confident ,Mostly safe,Completely confident,Smart voice assistant,,Would not ,,Mostly safe,Definitely safe,Definitely unsafe,Somewhat unsafe,Somewhat safe,Somewhat unsafe,I would prefer that my data was not collected. The fact that it is collected makes me feel unsafe,None,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Somewhat confident,Completely confident ,Mostly safe,No,,"No, but I have been in the past",,No,,No,,No,,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,18-24 years old,Male,,White or Caucasian,,High school diploma or GED,None,Medical-Simple,IoT-Complex,0,None,Show,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
21,Completely confident,R_78Yi7xDUEtXOIKJ,Completely confident,Develop an AI tool for diagnosing patients,,66.781,Definitely would,,Mostly safe,Definitely safe,Definitely safe,Somewhat safe,Somewhat safe,Definitely safe,no additional comment.,none.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Completely confident ,Completely confident ,Mostly safe,Completely confident,Smart voice assistant,,Maybe would,,Mostly safe,Definitely safe,Definitely safe,Somewhat safe,Somewhat safe,Somewhat safe,"Generally I feel much safer if a TEE is in place, vs a situation where there is none.",questions primarily focus on the data they are collecting and how long it is maintained before being purged/deleted.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,55-64 years old,Male,,White or Caucasian,,Bachelor’s degree,,Medical-Complex,IoT-Complex,0,Trust,Show,4,4,4,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1
22,Not at all confident,R_7I5LPcvKubRlmod,Somewhat confident,Develop an AI tool for diagnosing patients,,92.32,Maybe would,,Mostly safe,Somewhat safe,Somewhat unsafe,Somewhat unsafe,Somewhat unsafe,Neither safe nor unsafe,Just that it goes through a few different hands.,"I can't think of any more questions. Maybe, would be nice to see more real world examples.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Not at all confident,Mostly safe,Somewhat confident,Smart light bulb,,Would not ,,Mostly safe,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Somewhat unsafe,Neither safe nor unsafe,Well the data could give away times that I am asleep or not at home.,I don't have any questions.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,Yes,,No,,No,,"Yes, and I use the smart features",,"Yes, I have used home automation, but not currently",,35-44 years old,Male,,White or Caucasian,,"Some college, but no degree",,Medical-Complex,IoT-Simple,1,None,Show,2,2,2,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
23,Somewhat confident,R_5To6bRTK6kc73ny,Completely confident,Develop an AI tool for diagnosing patients,,,Maybe would,,Completely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,Somewhat safe,The cryptography makes me think my data will be safe since its uncrackable. ,TEEs don't seem to be open source. Is there a way to audit them?,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,Somewhat confident,Smart voice assistant,,Maybe would,,Mostly safe,Somewhat safe,Somewhat safe,Definitely safe,Definitely safe,Somewhat safe,Having the ability to delete your data at will would make this safer.,Are TEEs being adopted more often now?,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Completely confident ,Somewhat confident,Mostly safe,Yes,,Yes,,Yes,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,55-64 years old,Female,,White or Caucasian,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,Medical-Complex,IoT-Complex,1,Hardware,Hide,2,2,2,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0
24,Completely confident,R_2ASjEbHhoocHDcT,Somewhat confident,Determine where to build a new hospital,,,Maybe would,,Mostly safe,Definitely safe,Somewhat safe,Definitely safe,Somewhat safe,Somewhat safe,I feel pretty safe because of tee.,None :),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Completely safe,Completely confident,Smart light bulb,,Definitely would,,Completely safe,Definitely safe,Somewhat safe,Definitely safe,Somewhat safe,Somewhat safe,It makes me feel very safe,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Completely confident ,Completely safe,No,,No,,No,,"Yes, as a participant",,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,18-24 years old,Female,,White or Caucasian,,High school diploma or GED,"Nothing but I really enjoyed the survey. I hope I was able to answer everything good for you guys and I hope I get to work with you again in the future, thank you! ",Medical-Simple,IoT-Simple,0,Hardware,Hide,3,2,3,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1
25,Completely confident,R_724JKJkMRqvYu0a,Completely confident,Determine where to build a new hospital,,,Definitely would,,Mostly safe,Definitely safe,Neither safe nor unsafe,Neither safe nor unsafe,Somewhat safe,Somewhat unsafe,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Completely confident ,Somewhat confident,Mostly safe,Somewhat confident,Smart light bulb,,Maybe would,,Mostly safe,Definitely safe,Somewhat unsafe,Neither safe nor unsafe,Somewhat unsafe,Somewhat unsafe,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,No,,No,,No,,No,,No,,No,,"No, I don’t own smart devices",,45-54 years old,Male,,Black or African American,,High school diploma or GED,,Medical-Simple,IoT-Simple,1,Trust,Hide,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1
26,Somewhat confident,R_1cOG8AtZ0Nl7De9,Somewhat confident,Develop an AI tool for diagnosing patients,,,Maybe would,,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat unsafe,Somewhat safe,"I would feel somewhat uncomfortable about the fact that the data acquired now, in the present, could be used for further study in the future. That statement implies that further use of my voluntarily given data could be used for a basically endless variety of things in other studies. Any of those studies could have completely different development teams. My personal identification could be handled differently and all would be occurring completely without my input or knowledge of these future studies.",I feel like the statement about the TEE in the above scenario doesnt state definitively the extent to which the AI could store or use or recombine my information. The TEE seems like a good start but doesnt really cover all actions or through points for the data which need to be stated more explicitly. I would certainly feel more safe with the idea of a TEE but it appears limited in scope as pertains to data security.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart light bulb,,Maybe would,I am not convinced that all my data is being protected in this scenario since the statement said at some future date my data could be used in other studies. Which part of my data? My light usage or all the rest of it?,Mostly safe,Neither safe nor unsafe,Somewhat unsafe,Somewhat unsafe,Somewhat safe,Somewhat unsafe,"I feel that technical data could be reproduced and used in the present and at a later date without a safety compromise, but my personal data is a part of the overall data package being stored. How do I know who is getting that data in the future.","I like the information communicated that the TEE operates independently of other functions, but how impervious to hacks is it, in reality? Might there be a back door vulnerability?",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Not at all confident,Not at all confident,Mostly safe,No,,"No, but I have been in the past",,Yes,,No,"not in the sense the example gives, not human trials",No,,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,65+ years old,Female,,White or Caucasian,,Bachelor’s degree,It would seem there is a difference that should be expressed to those providing  datasets that a TEE is limited to an essentially mechanical function and it does not cover all aspects of data security in terms of longevity storage or dissemination by any team member including the AI function.,Medical-Complex,IoT-Simple,0,Unsubstantial,None,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
27,Completely confident,R_77EdilnaNzCq0gN,Completely confident,Develop an AI tool for diagnosing patients,,,Maybe would,,Mostly safe,Somewhat safe,Neither safe nor unsafe,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,"From what I've seen in the world of computers, everything gets hacked at least once. Most of the data taken in a major hack doesn't always get used, but the hack still takes place. Advance hacking tools, used by the hackers, combined with human error in the place they are targeting make a hack possible at least once. ",I don't have any questions.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Completely confident ,Completely confident ,Mostly safe,Completely confident,Smart voice assistant,,Definitely would,,Mostly safe,Somewhat safe,Neither safe nor unsafe,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,"I know that everything gets hacked at least once, or human error causes data to get compromised, but I don't think that will affect me much. ",No questions. ,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Completely confident ,Completely confident ,Mostly safe,Yes,,Yes,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I have used home automation, but not currently",,35-44 years old,Male,,Black or African American,,High school diploma or GED,I believe that in the future advanced A.I. technology could possibly make some Tee systems completely safe. ,Medical-Complex,IoT-Complex,1,Hardware,None,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0
28,Completely confident,R_1scZq6bFn5wk1y0,Not at all confident,Determine where to build a new hospital,,143.443,Maybe would,,Mostly safe,Neither safe nor unsafe,Definitely safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,,,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Completely confident ,Completely confident ,Mostly safe,Completely confident,Smart light bulb,,Would not ,,Somewhat safe,Definitely safe,Somewhat safe,Definitely safe,Somewhat unsafe,Somewhat unsafe,,,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Completely confident ,Somewhat confident,Mostly safe,No,,No,,No,,No,,Yes,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,45-54 years old,Female,,White or Caucasian,,Bachelor’s degree,,Medical-Simple,IoT-Simple,0,Hardware,Show,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0
29,Completely confident,R_74HIc1hUl9X5tm1,Completely confident,Develop an AI tool for diagnosing patients,,743.785,Definitely would,,Completely safe,Neither safe nor unsafe,Definitely unsafe,Somewhat unsafe,Somewhat unsafe,Somewhat safe,"Knowing that the data will be securely transmitted and stored, accessible only by a small team, increases the feeling of safety.",,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Completely confident ,Somewhat confident,Somewhat safe,Completely confident,Smart light bulb,,Maybe would,,Mostly safe,Somewhat safe,Somewhat safe,Somewhat safe,Definitely safe,Definitely safe,"Data protected by a TEE generally seems safe due to the isolation and security mechanisms provided by technologies like Arm TrustZone and Intel SGX. Ensuring that that sensitive data and operations are segregated from the normal operating environment, reducing the risk of unauthorized access even if other parts of the system are compromised."," How frequently is the attestation performed, and what specific measures are in place to detect any compromise or misconfiguration in real-time?",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Completely confident ,Completely confident ,Mostly safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,18-24 years old,Male,,Asian,,High school diploma or GED,,Medical-Complex,IoT-Simple,0,Unsubstantial,Show,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1
30,Somewhat confident,R_232X8VMPQ83p4kc,Somewhat confident,Determine where to build a new hospital,,,Maybe would,,Mostly safe,Neither safe nor unsafe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,Completely confident,Smart light bulb,,Maybe would,,Mostly safe,Somewhat safe,Neither safe nor unsafe,Somewhat safe,Somewhat safe,Definitely safe,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,No,,"No, but I have been in the past",,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,35-44 years old,Male,,Black or African American,,Bachelor’s degree,,Medical-Simple,IoT-Simple,1,Unsubstantial,None,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0
